Year,Quarter,YearQuarter,Registrations
1994,Q1,1994 Q1,2852
1994,Q2,1994 Q2,1944
1994,Q3,1994 Q3,1381
1994,Q4,1994 Q4,1653
1995,Q1,1995 Q1,3229
1995,Q2,1995 Q2,1845
1995,Q3,1995 Q3,1530
1995,Q4,1995 Q4,1503
1996,Q1,1996 Q1,2053
1996,Q2,1996 Q2,2997
1996,Q3,1996 Q3,1615
1996,Q4,1996 Q4,1926
1997,Q1,1997 Q1,2668
1997,Q2,1997 Q2,1895
1997,Q3,1997 Q3,1938
1997,Q4,1997 Q4,1539
1998,Q1,1998 Q1,1795
1998,Q2,1998 Q2,2709
1998,Q3,1998 Q3,1649
1998,Q4,1998 Q4,2203
1999,Q1,1999 Q1,1963
1999,Q2,1999 Q2,2085
1999,Q3,1999 Q3,2297
1999,Q4,1999 Q4,2611
2000,Q1,2000 Q1,2673
2000,Q2,2000 Q2,2448
2000,Q3,2000 Q3,1655
2000,Q4,2000 Q4,1346
2001,Q1,2001 Q1,1982
2001,Q2,2001 Q2,2513
2001,Q3,2001 Q3,2333
2001,Q4,2001 Q4,1896
2002,Q1,2002 Q1,3473
2002,Q2,2002 Q2,5115
2002,Q3,2002 Q3,5038
2002,Q4,2002 Q4,4617
2003,Q1,2003 Q1,3758
2003,Q2,2003 Q2,4545
2003,Q3,2003 Q3,3937
2003,Q4,2003 Q4,4468
2004,Q1,2004 Q1,4402
2004,Q2,2004 Q2,5349
2004,Q3,2004 Q3,4324
2004,Q4,2004 Q4,4639
2005,Q1,2005 Q1,4525
2005,Q2,2005 Q2,3871
2005,Q3,2005 Q3,3094
2005,Q4,2005 Q4,4166
2006,Q1,2006 Q1,5139
2006,Q2,2006 Q2,5592
2006,Q3,2006 Q3,3446
2006,Q4,2006 Q4,3081
2007,Q1,2007 Q1,3372
2007,Q2,2007 Q2,2976
2007,Q3,2007 Q3,1508
2007,Q4,2007 Q4,1462
2008,Q1,2008 Q1,1601
2008,Q2,2008 Q2,1446
2008,Q3,2008 Q3,932
2008,Q4,2008 Q4,571
2009,Q1,2009 Q1,421
2009,Q2,2009 Q2,345
2009,Q3,2009 Q3,138
2009,Q4,2009 Q4,209
2010,Q1,2010 Q1,40
2010,Q2,2010 Q2,195
2010,Q3,2010 Q3,63
2010,Q4,2010 Q4,20
2011,Q1,2011 Q1,58
2011,Q2,2011 Q2,32
2011,Q3,2011 Q3,38
2011,Q4,2011 Q4,12
2012,Q1,2012 Q1,9
2012,Q2,2012 Q2,71
2012,Q3,2012 Q3,31
2012,Q4,2012 Q4,31
2013,Q1,2013 Q1,96
2013,Q2,2013 Q2,217
2013,Q3,2013 Q3,226
2013,Q4,2013 Q4,136
2014,Q1,2014 Q1,221
2014,Q2,2014 Q2,292
2014,Q3,2014 Q3,327
2014,Q4,2014 Q4,499
2015,Q1,2015 Q1,458
2015,Q2,2015 Q2,521
2015,Q3,2015 Q3,1051
2015,Q4,2015 Q4,498
2016,Q1,2016 Q1,686
2016,Q2,2016 Q2,537
2016,Q3,2016 Q3,760
2016,Q4,2016 Q4,922
2017,Q1,2017 Q1,1265
2017,Q2,2017 Q2,1787
2017,Q3,2017 Q3,1197
2017,Q4,2017 Q4,814
2018,Q1,2018 Q1,848
2018,Q2,2018 Q2,1200
2018,Q3,2018 Q3,1308
2018,Q4,2018 Q4,1096
2019,Q1,2019 Q1,821
2019,Q2,2019 Q2,1037
2019,Q3,2019 Q3,869
2019,Q4,2019 Q4,1690
2020,Q1,2020 Q1,1441
2020,Q2,2020 Q2,451
